BookTitle,BookAuthor,Type,Condition,Remarks
"The Lion, The Witch, and The Wardrobe","Lewis, C.S.",Paperback,Very Good,N/A
The Horse and His Boy,"Lewis, C.S.",Paperback,Very Good,N/A
Prince Caspian,"Lewis, C.S.",Paperback,Very Good,N/A
The Silver Chair,"Lewis, C.S.",Paperback,Very Good,N/A
The Last Stand,"Lewis, C.S.",Paperback,Very Good,N/A
Personality Plus,"Littauer, Florence",Paperback,Like New,N/A
The Summer Dragon,"Lockwood, Todd",Paperback,Like New,N/A
White Fang,"London, Jack",Paperback,Acceptable,N/A
Throne of Glass,"Maas, Sarah J. ",Hardcover,Like New,N/A
A Court of Thorns and Roses,"Maas, Sarah J. ",Hardcover,Like New,N/A
Frozen II: Dangerous Secrets,"Mancusi, Mari",Hardcover,Like New,N/A
Turn the Ship Around,"Marquet, L. David",Hardcover,Good,N/A
Fire and Blood,"Martin, George R.R. ",Hardcover,Good,N/A
Game of Thrones,"Martin, George R.R. ",Kindle,N/A,N/A
Clash of Kings,"Martin, George R.R. ",Kindle,N/A,N/A
Storm of Swords,"Martin, George R.R. ",Kindle,N/A,N/A
Feast for Crows,"Martin, George R.R. ",Kindle,N/A,N/A
A Dance with Dragons,"Martin, George R.R. ",Kindle,N/A,N/A
Ordinary CourageL The Revolutionary War Adventures of Joseph Plumb Martin,"Martin, James Kirby",Kindle,N/A,N/A
The Dragonriders of Pern,"McCaffrey, Anne",Paperback,Like New,N/A
The Chronicles of Pern: First Fall,"McCaffrey, Anne",Paperback,Like New,N/A
Fablehaven: Secrets of the Dragon Sanctuary,"Mull, Brandon",Hardcover,Good,Missing dust jacket
Little Fires Everywhere,"Ng, Celeste",Paperback,Like New,N/A
Everything I Never Told You,"Ng, Celeste",Paperback,Like New,N/A
Midnight for Charlie Bone,"Nimmo, Jenni",Paperback,Acceptable,N/A
Charlie Bone and the Time Twister,"Nimmo, Jenni",Hardcover,Very Good,N/A
Charlie Bone and the Invisible Boy,"Nimmo, Jenni",Hardcover,Very Good,N/A
Charlie Bone and the Castle of Mirrors,"Nimmo, Jenni",Hardcover,Very Good,N/A
Charlie Bone and the Hidden Kin,"Nimmo, Jenni",Hardcover,Very Good,N/A
Charlie Bone and the Beast,"Nimmo, Jenni",Hardcover,Very Good,N/A
Charlie Bone and the Shadow,"Nimmo, Jenni",Hardcover,Very Good,N/A
Charlie Bone and the Red Knight,"Nimmo, Jenni",Hardcover,Good,N/A
A Promised Land,"Obama, Barrack",Hardcover,New,N/A
So You Want to Talk About Race,"Oluo, Ijeoma",Paperback,New,N/A
Where the Crawdads Sing,"Owens, Delia",Hardcover,New,N/A
The Wicked Will Rise,"Paige, Danielle",Hardcover,Like New,N/A
Dorothy Must Die Stories Volume 1,"Paige, Danielle",Paperback,Like New,N/A
Dorothy Must Die Stories Volume 2,"Paige, Danielle",Paperback,Like New,N/A
Eragon,"Paolini, Christopher",Hardcover,Good,N/A
Eldest,"Paolini, Christopher",Hardcover,Good,Missing dust jacket
Brisingr,"Paolini, Christopher",Hardcover,Good,N/A
Inheritance,"Paolini, Christopher",Hardcover,Good,First Edition
"The Fork, The Witch, and the Worm","Paolini, Christopher",Hardcover,Like New,N/A
To Sleep in a Sea of Stars,"Paolini, Christopher",Hardcover,New,N/A
Maximum Ride: The Angel Experiment,"Patterson, James",Paperback,Good,N/A
Nevermore,"Patterson, James",Hardcover,Good,Missing dust jacket
Thirst,"Pike, Christopher",Paperback,Good,N/A
The Golden Compass,"Pullman, Philip",Hardcover,Like New,N/A
The Subtle Knife,"Pullman, Philip",Hardcover,Like New,N/A
The Amber Spyglass,"Pullman, Philip",Hardcover,Like New,N/A
Lyra's Oxford,"Pullman, Philip",Hardcover,Like New,N/A
